State,County,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Year,Population,Total crime,Total crime_rate,Violent crime_rate,Murder and nonnegligent manslaughter_rate,Rape_rate,Robbery_rate,Aggravated assault_rate,Property crime_rate,Burglary_rate,Larceny-theft_rate,Motor vehicle theft_rate,Arson_rate
Alabama,Autauga,27.333333333333332,0.0,4.0,4.666666666666667,18.666666666666668,389.6666666666667,129.66666666666666,219.33333333333334,40.666666666666664,,2006.0,51136.333333333336,417.0,814.9385997258541,53.33211511141112,0.0,7.834268565291133,9.168048029201374,36.32979851691861,761.606484614443,253.61100276643617,428.393268727263,79.60221312074391,
Alabama,Baldwin,121.33333333333333,1.0,16.666666666666668,11.666666666666666,92.0,982.6666666666666,317.0,612.3333333333334,53.333333333333336,,2007.0,172117.33333333334,1104.0,640.421859729826,70.31973814213679,0.5687408645998624,9.643793511197776,6.718721510300429,53.388482256038735,570.1021215876893,184.05241080799274,355.2648138530041,30.784896926692408,
Alabama,Barbour,12.0,0.0,1.3333333333333333,0.3333333333333333,10.333333333333334,47.333333333333336,28.666666666666668,15.666666666666666,3.0,,2006.6666666666667,27864.0,59.333333333333336,212.454345466138,42.98445281044339,0.0,4.7666838305092645,1.1893293371867604,37.028439642747365,169.4698926556946,102.81621245850812,55.92161671721899,10.732063479967513,
Alabama,Bibb,15.333333333333334,0.0,1.3333333333333333,0.6666666666666666,13.333333333333334,98.0,36.333333333333336,54.333333333333336,7.333333333333333,,2007.0,22414.0,113.33333333333333,504.4546762849056,68.32889209208555,0.0,5.930149763746819,2.9764692876702923,59.42227304066845,436.12578419282,161.57682987567844,241.95667552301651,32.59227879412508,
Alabama,Blount,103.0,0.0,14.0,6.0,83.0,1012.0,400.0,488.0,124.0,3.0,2005.0,54624.0,1115.0,2041.2272993555948,188.5618043350908,0.0,25.629759812536616,10.984182776801408,151.9478617457528,1852.665495020504,732.2788517867605,893.3801991798478,227.00644405389573,5.492091388400704
Alabama,Bullock,33.5,0.0,1.5,2.5,29.5,127.5,62.5,65.0,0.0,,2006.0,11011.0,161.0,1462.174189446917,304.24121333212247,0.0,13.622740895468167,22.704568159113613,267.9139042775406,1157.9329761147942,567.6142039778404,590.318772136954,0.0,
Alabama,Butler,12.0,0.0,1.3333333333333333,1.0,9.666666666666666,122.66666666666667,48.666666666666664,69.0,5.0,,2006.3333333333333,20864.666666666668,134.66666666666666,644.3319674407088,57.42524260102825,0.0,6.382843776365619,4.7916779291493645,46.25072089551326,586.9067248396806,232.79457115980426,330.16733162497104,23.944822054905263,
Alabama,Calhoun,37.0,0.0,13.0,6.0,18.0,886.0,280.0,595.0,11.0,,2005.0,114477.0,923.0,806.2754963879207,32.32090288878989,0.0,11.355992906872123,5.241227495479441,15.723682486438323,773.9545934991307,244.59061645570725,519.7550599683779,9.608917075045643,
Alabama,Chambers,25.5,0.25,2.75,4.0,18.5,186.0,60.5,120.75,4.75,,2006.5,34908.5,211.5,605.7043723632034,72.99536499232157,0.7154099298898269,7.907172704670847,11.43842623773649,52.934356120024404,532.7090073708819,173.35470990367412,345.7317222106792,13.622575256528513,
Alabama,Cherokee,11.5,0.0,3.0,0.0,8.5,199.5,51.5,147.5,0.5,,2007.5,25594.5,211.0,824.6894499567522,44.909473410860464,0.0,11.740304465229132,0.0,33.16916894563133,779.7799765458918,201.30749328977822,576.5157658452421,1.9567174108715222,
Alabama,Chilton,309.5,0.5,8.5,2.5,298.0,465.5,155.0,304.0,6.5,,2007.5,43060.0,775.0,1799.5556916142216,718.5983343698645,1.1660175835451598,19.735411881849103,5.801125571586261,691.8957793328839,1080.9573572443574,359.93044655360404,705.9266067969452,15.100303893808,
Alabama,Clarke,4.0,0.0,0.0,0.0,4.0,13.0,5.0,6.0,2.0,,2007.0,26436.0,17.0,64.30624905431988,15.130882130428205,0.0,0.0,0.0,15.130882130428205,49.175366923891666,18.913602663035256,22.696323195642307,7.565441065214102,
Alabama,Clay,18.0,0.0,1.0,0.0,17.0,119.66666666666667,44.0,73.0,2.6666666666666665,,2006.6666666666667,14107.666666666666,137.66666666666666,975.831972876399,127.71827873924406,0.0,7.061648188687239,0.0,120.65663055055681,848.1136941371548,311.73085360993093,517.5390775840546,18.84376294316929,
Alabama,Cleburne,24.5,0.25,2.25,3.25,18.75,229.25,79.5,122.25,27.5,,2006.5,14644.75,253.75,1735.1161950533224,167.15408201293621,1.739977728285078,15.284732358475173,22.249417046062163,127.87995488011381,1567.9621130403862,543.3760155085007,836.225609180503,188.36048835138223,
Alabama,Coffee,17.0,0.5,1.0,3.0,12.5,169.5,60.0,102.5,7.0,,2006.0,46531.0,186.5,401.2884442476799,36.592121364383296,1.0963950530655207,2.1927901061310413,6.492706513412573,26.81022969177416,364.6963228832966,128.48350938856265,220.94894655679724,15.263866937936736,
Alabama,Colbert,115.5,0.0,4.5,3.25,107.75,348.5,81.25,258.5,8.75,,2006.5,54432.75,464.0,852.0279007807871,212.13141872445678,0.0,8.26287526199448,5.968488951437149,197.90005451102516,639.8964820563303,149.2049849679836,474.6281198590361,16.063377229310685,
Alabama,Conecuh,3.6666666666666665,0.3333333333333333,0.0,0.0,3.3333333333333335,39.0,14.333333333333334,23.666666666666668,1.0,,2006.6666666666667,13416.666666666666,42.666666666666664,318.4334705474705,27.36322245621059,2.4897918534010555,0.0,0.0,24.873430602809535,291.0702480912599,107.0095351501136,176.5974593637434,7.463253577402912,
Alabama,Coosa,27.5,1.0,3.75,4.0,18.75,192.0,62.25,120.75,9.0,,2006.5,11462.5,219.5,1914.587753210869,239.94331892827748,8.73515204512377,32.7372823246338,34.91435229021268,163.55653226830722,1674.6444342825916,542.8650154216236,1053.2242659591302,78.55515290183801,
Alabama,Covington,36.0,1.0,5.5,0.5,29.0,144.5,60.5,77.0,7.0,,2006.5,37374.5,180.5,484.1985911211818,96.61731371230988,2.6634705020641896,14.710119064519631,1.3317352510320948,77.91198889469396,387.5812774088719,162.21411631061542,206.56418619557402,18.802974902682458,
Alabama,Crenshaw,18.0,0.25,2.5,1.25,14.0,184.0,50.75,116.0,17.25,,2006.5,13864.25,202.0,1457.2268454201921,129.78676000983904,1.7957190058899581,18.086043355064177,9.00013613820121,100.9048615106837,1327.4400854103528,365.9191439941934,837.3032214291736,124.21771998698593,
Alabama,Cullman,115.25,1.75,22.5,7.75,83.25,1448.75,436.75,895.75,116.25,,2006.5,79396.25,1564.0,1970.9210398696903,145.07052589928077,2.207715054967174,28.300864655623183,9.781215270961845,104.78073091772858,1825.8505139704096,550.5698471407924,1128.6074573535186,146.67320947609855,
Alabama,Dale,23.75,0.0,1.75,1.5,20.5,97.5,31.75,62.0,3.75,,2006.5,49371.5,121.25,244.6840723616625,47.871122172014566,0.0,3.528451529744672,3.0404108613812224,41.302259780888676,196.81295018964792,64.07597488950488,125.14657034068367,7.5904049594593745,
Alabama,Dallas,38.0,0.0,4.0,8.0,26.0,400.5,151.5,216.5,32.5,,2006.5,44349.5,438.5,989.6021600318365,85.74779390337346,0.0,9.019300152275873,18.042896468335258,58.68559728276233,903.8543661284631,341.6768799698766,488.8033048999995,73.37418125858696,
Alabama,Elmore,44.333333333333336,1.0,13.333333333333334,11.666666666666666,18.333333333333332,663.6666666666666,218.0,414.0,31.666666666666668,,2006.3333333333333,75307.33333333333,708.0,939.7776290733655,58.533806788153505,1.342741522951749,17.730658966106883,15.418693019782928,24.041713279311946,881.2438222852119,289.4332121622876,549.8306658204641,41.979944302460176,
Alabama,Escambia,23.0,0.0,1.0,3.5,18.5,157.0,46.5,98.0,12.5,,2007.5,37884.0,180.0,475.1070727175413,60.702325354601825,0.0,2.6365050489071686,9.230903132661938,48.83491717303272,414.4047473629395,122.73858054109148,258.66282178820563,33.00334503364232,
Alabama,Etowah,2.0,0.0,0.0,0.0,2.0,249.0,63.0,152.0,34.0,,2005.0,103174.0,251.0,243.27834531955722,1.9384728710721693,0.0,0.0,0.0,1.9384728710721693,241.33987244848507,61.06189543877333,147.32393820148485,32.954038808226876,
Alabama,Fayette,10.333333333333334,0.0,1.6666666666666667,1.0,7.666666666666667,137.0,57.666666666666664,62.333333333333336,17.0,,2007.0,17610.333333333332,147.33333333333334,835.5952298265579,58.564585481389024,0.0,9.455156106853666,5.676756909282443,43.432672465252914,777.030644345169,327.0016306579412,353.48510545386404,96.54390823336372,
Alabama,Franklin,12.333333333333334,0.6666666666666666,3.0,1.0,7.666666666666667,80.33333333333333,32.0,41.666666666666664,6.666666666666667,,2006.3333333333333,31187.0,92.66666666666667,296.7889967497133,39.551105000453816,2.1470208046903707,9.61448133916709,3.2291397571686904,24.560463099427665,257.23789174925946,102.48549483290374,133.39321315806043,21.35918375829533,
Alabama,Geneva,24.0,0.75,3.25,1.25,18.75,205.5,70.75,105.0,29.75,,2006.5,26306.75,229.5,872.2279253467254,91.17643302085011,2.8493275586961477,12.374788657092399,4.731313222012219,71.22100358304934,781.0514923258754,268.72544626304716,399.1142098979765,113.21183616485175,
Alabama,Greene,31.0,0.0,0.0,1.0,30.0,124.0,59.0,54.0,11.0,,2005.0,9675.0,155.0,1602.0671834625323,320.4134366925064,0.0,0.0,10.335917312661499,310.07751937984494,1281.6537467700257,609.8191214470284,558.1395348837209,113.69509043927648,
Alabama,Hale,55.666666666666664,1.3333333333333333,3.3333333333333335,8.333333333333334,42.666666666666664,216.33333333333334,80.0,112.33333333333333,24.0,,2006.6666666666667,16433.333333333332,272.0,1656.4509782486527,339.1554475163961,8.13570735979439,20.337187639915744,50.74589339364095,259.936659123045,1317.2955307322566,487.3221657686316,683.5700895757694,146.40327538785556,
Alabama,Henry,18.75,0.25,1.75,1.25,15.5,150.5,48.0,88.0,14.5,,2006.5,16985.5,169.25,996.7701969652796,110.30446374729706,1.4595131064276958,10.287658413835334,7.350938330669019,91.20635389636502,886.4657332179826,282.7083069525154,518.4397342742407,85.31769199122654,
Alabama,Houston,17.25,0.75,2.75,5.25,8.5,461.0,108.5,306.0,46.5,,2006.5,96664.75,478.25,494.2661985304515,17.757077868295205,0.7674440021693084,2.7868254225824063,5.406723818877025,8.796084624666467,476.5091206621563,112.42794196173793,316.1501474412962,47.93103125912218,
Alabama,Jackson,63.25,2.0,10.0,4.5,46.75,603.25,196.25,317.0,90.0,,2006.5,53418.25,666.5,1247.7973277376761,118.42054337716229,3.746105770761517,18.723283713651302,8.42970861159749,87.52144528115198,1129.3767843605137,367.38881112089956,593.508304231191,168.4796690084233,
Alabama,Jefferson,573.25,5.25,52.5,219.75,295.75,5454.5,1953.5,2977.75,523.25,26.5,2006.5,655621.25,6027.75,919.3526024914539,87.42666919553388,0.8006104812912143,8.006609463843855,33.51167069809552,45.10777855230329,831.92593329592,297.9359664105048,454.17864312074545,79.81132376466977,4.042841347299007
Alabama,Lamar,1.0,0.0,0.0,0.0,1.0,28.333333333333332,10.666666666666666,14.333333333333334,3.3333333333333335,,2006.0,14908.666666666666,29.333333333333332,196.21071331052494,6.6948623524362,0.0,0.0,0.0,6.6948623524362,189.51585095808878,71.35168369153368,95.87478716444163,22.28938010211344,
Alabama,Lauderdale,45.0,0.5,9.5,5.5,29.5,579.5,187.5,361.5,30.5,,2006.5,90780.0,624.5,681.045226292375,49.30640547503975,0.5422875859525824,10.407020561921273,6.103238683908017,32.253858643257885,631.7388208173352,204.25533378201087,394.3003878633946,33.18309917192973,
Alabama,Lawrence,36.25,0.75,4.5,4.0,27.0,465.0,144.0,298.75,22.25,,2006.5,34238.0,501.25,1464.7804042899154,105.94771483841261,2.195383676804976,13.157337983863751,11.695437012411427,78.89955616533246,1358.8326894515028,420.7243559400688,873.1354424594997,64.97289105193425,
Alabama,Lee,67.0,1.6666666666666667,12.666666666666666,20.666666666666668,32.0,1488.3333333333333,505.6666666666667,885.3333333333334,97.33333333333333,,2006.3333333333333,129968.0,1555.3333333333333,1191.9952476906265,51.10868372377106,1.2591700121259588,9.642589656383317,15.868227364715992,24.338696690545788,1140.8865639668554,387.26954941898686,678.7544434303353,74.8625711175332,
Alabama,Limestone,27.666666666666668,0.3333333333333333,3.0,5.333333333333333,19.0,327.3333333333333,81.0,211.33333333333334,35.0,,2007.0,76183.0,355.0,465.8458094559831,36.16095315842389,0.4228240417750153,3.851643907513482,6.974568405379473,24.91191680375592,429.68485629755924,106.19518174960609,277.61371705840037,45.875957489552796,
Alabama,Lowndes,43.0,1.0,3.6666666666666665,11.333333333333334,27.0,144.66666666666666,118.33333333333333,18.333333333333332,8.0,,2006.0,12164.666666666666,187.66666666666666,1540.5804326383823,352.18823499728205,8.222232082030265,30.070212229583102,92.7524982373687,221.14329244830003,1188.3921976411,971.5444637141509,151.19096743239206,65.65676649455695,
Alabama,Macon,34.0,0.3333333333333333,3.3333333333333335,3.0,27.333333333333332,276.3333333333333,119.33333333333333,114.33333333333333,42.666666666666664,,2007.0,21922.0,310.3333333333333,1418.3370806598016,155.83109752960877,1.5434242410211294,15.27394603657738,13.745212108716473,125.26851514329378,1262.505983130193,544.9333842093945,522.3944739978571,195.1781249229415,
Alabama,Madison,238.5,2.25,22.25,43.75,170.25,2451.25,734.75,1474.0,242.5,,2006.5,312507.25,2689.75,861.6186897954016,76.443176274401,0.7291621875972913,7.136441931522967,14.072825581724288,54.50474657355646,785.1755135210005,235.2749299022542,472.3545818167528,77.54600180199354,
